timestep,episode,reward,episode_length,success_rate
10000,1,-96.5230134811892,1033.0,0.0
20000,2,-121.07162047849411,198.2,0.0
30000,3,-128.0198949305215,150.6,0.0
40000,4,-126.55406435170235,82.2,0.0
50000,5,-112.53246301987994,402.4,0.0
60000,6,-118.47972432175955,763.0,0.0
70000,7,-119.81945353565747,142.2,0.0
80000,8,-127.44320478006667,742.8,0.0
90000,9,-101.87412111164791,402.2,0.0
100000,10,-126.54596335500555,1600.0,0.0
110000,11,-31.32231561913428,1600.0,0.0
120000,12,-92.16276011481682,356.8,0.0
130000,13,-97.74487051551753,211.2,0.0
140000,14,-20.73351502630375,819.2,0.0
150000,15,-63.030694231261656,1373.6,0.0
160000,16,-115.04949145006997,263.0,0.0
170000,17,-81.70961243791791,330.6,0.0
180000,18,123.35430869588541,1001.4,0.0
190000,19,10.458832869685907,534.4,0.0
200000,20,34.42258923881653,1018.4,0.0
210000,21,-50.30510744802058,418.8,0.0
220000,22,17.26343104929714,449.4,0.0
230000,23,-60.257291787960455,420.8,0.0
240000,24,-40.0616219624513,454.8,0.0
250000,25,15.020188574601889,423.0,0.0
260000,26,103.97458826764748,605.0,0.0
270000,27,160.4724334697976,792.0,0.0
280000,28,90.16029011367343,589.2,0.0
290000,29,-113.99351368632988,1600.0,0.0
300000,30,-121.8376069478984,1600.0,0.0
310000,31,-138.16499553848502,1600.0,0.0
320000,32,-50.54465897818458,322.6,0.0
330000,33,112.7959272148319,579.6,0.0
340000,34,134.5034112587992,642.8,0.0
350000,35,213.92466489049554,800.8,0.0
360000,36,213.80528276756303,817.6,0.0
370000,37,199.32274279762896,773.6,0.0
380000,38,207.23588967891646,822.2,0.0
390000,39,127.17772418508608,684.0,0.0
400000,40,-1.386068664574165,330.2,0.0
410000,41,118.8728040815819,717.6,0.0
420000,42,-37.386026355857496,257.6,0.0
430000,43,-140.21128345251827,225.2,0.0
440000,44,-135.04254117109204,902.4,0.0
450000,45,-38.594137483148884,1503.2,0.0
460000,46,-115.40114877353236,51.6,0.0
470000,47,62.03537504821314,579.0,0.0
480000,48,134.12903720906152,682.0,0.0
490000,49,129.0066516211029,593.0,0.0
500000,50,8.35208574404271,356.8,0.0
