timestep,episode,reward,reward_std,episode_length,success_rate
10000,1,-122.77746507990602,5.551043484967787,694.4,0.0
20000,2,-107.98957077787357,13.182052142122627,388.6,0.0
30000,3,-46.27172233595758,18.53411460780264,1600.0,0.0
40000,4,-109.35231732031892,11.58280113879476,1600.0,0.0
50000,5,-100.59383660812975,29.566291313729128,1041.0,0.0
60000,6,-85.59866108161705,3.0044048234124276,1600.0,0.0
70000,7,-105.97297388345446,10.428458581865545,528.2,0.0
80000,8,-158.61552970659758,29.18842168731179,578.2,0.0
90000,9,-88.11321961331392,22.046491411676264,576.6,0.0
100000,10,-116.62200694454364,24.278516246019887,909.6,0.0
110000,11,-109.9692393515716,10.510459169959448,487.8,0.0
120000,12,-23.46467381351863,53.0302906576454,1389.2,0.0
130000,13,-58.293756102199985,59.9052760664802,1401.6,0.0
140000,14,-106.10021136132082,36.572612755511315,724.4,0.0
150000,15,-92.58105111786884,18.505990785092294,620.6,0.0
160000,16,-65.55345177743945,27.03160842979725,516.2,0.0
170000,17,-99.40560935019109,52.07126300397553,846.4,0.0
180000,18,-141.60875275720556,10.876394097948419,1600.0,0.0
190000,19,33.933888118528195,75.83589415504343,1309.2,0.0
200000,20,-113.91404114412057,2.9378980050423977,74.6,0.0
210000,21,-62.760793966631965,87.41879157729048,458.0,0.0
220000,22,-127.66651299981302,4.852384683753535,81.4,0.0
230000,23,-96.99239368606311,1.4579496104309855,129.2,0.0
240000,24,-71.32039659025224,54.83540004517663,294.0,0.0
250000,25,-23.172959127845083,57.58454258802199,548.2,0.0
260000,26,6.514613818990663,143.16507248850007,892.2,0.0
270000,27,90.46353202056312,156.5065735916866,668.2,0.0
280000,28,-29.778968001140775,35.29974623883436,370.4,0.0
290000,29,105.86989044235561,151.68276275723662,731.8,0.0
300000,30,44.74341632285634,61.408863782490805,595.4,0.0
310000,31,74.51542708763712,146.0378065876297,808.2,0.0
320000,32,45.413526759651276,125.75278850010132,542.4,0.0
330000,33,5.570944169725271,88.30502383062695,467.4,0.0
340000,34,-40.83289510544206,24.32308484218404,265.0,0.0
350000,35,-66.33369685696316,70.04877545690626,203.2,0.0
360000,36,-100.5094151714546,2.7876680666953804,58.8,0.0
370000,37,97.43404898855724,163.00527111409534,569.8,0.0
380000,38,-44.28633559476051,51.37990140760781,296.8,0.0
390000,39,75.8070527437972,114.1237505035171,625.8,0.0
400000,40,-70.60522316653616,50.80803192111277,166.8,0.0
410000,41,-98.05123627166252,11.153446281788533,122.6,0.0
420000,42,70.35115518730974,167.83136836111612,562.4,0.0
430000,43,104.52388037580972,161.9571010666089,672.6,0.0
440000,44,59.18424861363775,176.1404984102912,535.6,0.0
450000,45,-14.508347146112882,128.99187180843438,1508.6,0.0
460000,46,-7.216506058156848,67.9457905515265,364.8,0.0
470000,47,-187.24973746158116,23.290605502888287,873.6,0.0
480000,48,21.760473256900106,136.94076632414962,810.2,0.0
490000,49,208.42864286200643,146.0696024309066,821.4,0.0
500000,50,21.67152824505459,137.1653733687511,424.2,0.0
