timestep,episode,reward,reward_std,episode_length,success_rate
10000,1,-104.47112844749343,2.373506374762912,115.4,0.0
20000,2,-49.93438198285374,0.957550363589362,1600.0,0.0
30000,3,-57.56823836871115,2.345186743425087,1600.0,0.0
40000,4,-101.70155849845472,28.57714978880287,726.8,0.0
50000,5,-48.76066526922964,0.7601066910823419,1600.0,0.0
60000,6,-41.70467999049713,2.3989381928441875,1600.0,0.0
70000,7,-51.8797220245718,0.8324790374064205,1600.0,0.0
80000,8,-112.21719524574887,0.8301067460523829,64.0,0.0
90000,9,-1.0933561553225957,113.934108081251,713.8,0.0
100000,10,-99.74215878175474,4.964916577698295,129.4,0.0
110000,11,-54.70300811352397,48.55497453357635,470.0,0.0
120000,12,-61.50592785156705,71.90637560895969,468.4,0.0
130000,13,125.94889051598518,2.4137856388476844,1600.0,0.0
140000,14,119.57592486249487,0.34386474405152245,1600.0,0.0
150000,15,118.91037712673389,1.0455526664700054,1600.0,0.0
160000,16,141.16128452012677,6.19853563219387,1600.0,0.0
170000,17,206.7113348833152,11.703612830592125,1600.0,0.0
180000,18,201.52253892161042,8.684690779075103,1600.0,0.0
190000,19,175.0228478948769,6.131798727762794,1600.0,0.0
200000,20,205.05939739451532,4.133656667540924,1600.0,0.0
210000,21,191.0693194692464,2.3777594942177354,1600.0,0.0
220000,22,182.75947976797642,3.7817899799178316,1600.0,0.0
230000,23,171.1407249491148,7.924402847972351,1600.0,0.0
240000,24,202.64318653799813,4.407456896512444,1600.0,0.0
250000,25,235.4508555527969,3.8927956900139216,1600.0,0.0
260000,26,245.4700048563318,3.950820268653656,1600.0,0.0
270000,27,226.10911506387743,3.264419855104221,1600.0,0.0
280000,28,235.3689254213612,5.6398416965558145,1600.0,0.0
290000,29,257.35673956903224,7.777795294861002,1600.0,0.0
300000,30,215.4814771436977,91.7261124579151,1455.6,0.0
310000,31,241.99294506243717,9.418961862677214,1600.0,0.0
320000,32,264.61543489064525,4.771126543339501,1586.8,0.0
330000,33,263.7283682341865,2.207602529244343,1552.6,0.0
340000,34,255.66665548065976,7.188402174825625,1557.4,0.0
350000,35,119.23770073498231,122.93722975146275,1012.8,0.0
360000,36,204.5460426831919,119.25858816997007,1299.6,0.0
370000,37,182.40146478392745,109.51884159550688,1201.6,0.0
380000,38,234.90273410419042,63.8385757951442,1418.6,0.0
390000,39,142.11702680523223,113.1267794101589,1163.8,0.0
400000,40,136.58304042385882,116.67702559921459,1054.4,0.0
410000,41,194.8417612675974,100.34092012875581,1242.2,0.0
420000,42,224.02536791268594,105.99080043513989,1192.8,0.0
430000,43,46.23282709779591,126.58100559611422,653.2,0.0
440000,44,277.5746355848328,2.244156249218868,1353.8,0.0
450000,45,273.903142738353,2.1883553756712986,1403.4,0.0
460000,46,274.90218451523424,2.256071197798975,1368.4,0.0
470000,47,233.40855549071702,84.80294779844608,1281.8,0.0
480000,48,280.8793923957106,3.519783975905549,1310.6,0.0
490000,49,284.9417709797908,3.2837389205518015,1306.8,0.0
500000,50,286.9518041405683,2.472819359451695,1283.4,0.0
